Marca,Modelo / Ano,Classe & IP Original,Peso de Fábrica (kg),Potência de Fábrica (CV/HP),Distribuição Dianteira (%),opção 2 
Lamborghini,2020 Lamborghini Huracán STO,S1 783,1339,631 cv,42%,RWD
Lamborghini,2020 Lamborghini Huracán EVO,S1 761,1422,631 cv,43%,AWD
Lamborghini,2020 Lamborghini Essenza SCV12,R 911,1376,820 cv,43%,RWD
Lamborghini,2019 Lamborghini Urus,A 659,2200,641 cv,52%,AWD
Lamborghini,2018 Lamborghini Aventador SVJ,S1 794,1525,759 cv,43%,AWD
Lamborghini,2016 Lamborghini Centenario LP 770-4,S1 792,1520,759 cv,43%,AWD
Lamborghini,2014 Lamborghini Huracán LP 610-4,S1 738,1422,602 cv,43%,AWD
Lamborghini,2013 Lamborghini Veneno,S2 834,1490,740 cv,43%,AWD
Lamborghini,2012 Lamborghini Gallardo LP570-4 Spyder Performante,A 685,1485,562 cv,43%,AWD
Lamborghini,2012 Lamborghini Aventador LP700-4,S1 753,1575,691 cv,43%,AWD
Lamborghini,2011 Lamborghini Sesto Elemento,S2 871,999,562 cv,41%,AWD
Lamborghini,2010 Lamborghini Murciélago LP 670-4 SV,S1 707,1565,661 cv,43%,AWD
Lamborghini,1999 Lamborghini Diablo GTR,S2 823,1395,592 cv,41%,RWD
Lamborghini,1997 Lamborghini Diablo SV,A 649,1570,523 cv,41%,RWD
Lamborghini,1988 Lamborghini Countach LP5000 QV,A 622,1490,449 cv,41%,RWD
Lancia,Lancia Stratos HF Stradale 1974,C 483,980,190 cv,50%,RWD
Lancia,1992 Lancia Delta HF Integrale EVO,C 489,1300,210 cv,55%,AWD
Lancia,1986 Lancia Delta S4,B 564,890,500 cv,54%,AWD
Lancia,1982 Lancia 037 Stradale,B 555,980,205 cv,54%,RWD
Land Rover,2020 Land Rover Defender 110 X,C 427,2518,296 cv,55%,AWD
Land Rover,2015 Land Rover Range Rover Sport SVR,A 604,2335,542 cv,55%,AWD
Lexus,2021 Lexus LC 500,B 592,1935,467 cv,54%,RWD
Lexus,2015 Lexus RC F,A 623,1790,467 cv,54%,RWD
Lexus,2010 Lexus LFA Forza Edition,S2 900,1480,552 cv,48%,RWD
Lexus,2010 Lexus LFA,A 699,1480,552 cv,48%,RWD
Lincoln,Lincoln Continental de 1962,D 267,2235,345 cv,55%,RWD
Lotus,2023 Lotus Emira,A 656,1405,400 cv,39%,RWD
Lotus,2020 Lotus Evija Forza Edition,S2 900,1680,2000 cv,37%,AWD
Lotus,2020 Lotus Evija,R 937,1680,2000 cv,37%,AWD
Lotus,2018 Lotus Scura Motorsports Exige WTAC,R 998,1050,700 cv,42%,RWD
Lotus,2018 Lotus Exige Cup 430,S1 732,1056,430 cv,40%,RWD
Lotus,1999 Lotus Elise Series 1 Sport 190,B 589,670,187 cv,41%,RWD
Lotus,1997 Lotus Elise GT1,S1 709,1050,350 cv,41%,RWD
Lucid,2024 Lucid Air Sapphire,S2 820,2420,1977 cv,48%,AWD
MG,1986 MG Metro 6R4,A 627,1030,375 cv,54%,AWD
MINI,MINI Cooper S de 1965,D 158,660,34 cv,38%,FWD
MINI,2021 MINI John Cooper Works GP,B 599,1255,301 cv,62%,FWD
MINI,2018 MINI X-raid John Cooper Works Buggy,B 514,1700,350 cv,54%,RWD
MINI,2013 MINI X-Raid All4 Racing Countryman,B 523,1900,300 cv,54%,AWD
MINI,2012 MINI John Cooper Works GP,B 509,1160,215 cv,62%,FWD
Maserati,2022 Maserati MC20,S1 753,1500,621 cv,40%,RWD
Maserati,2008 Maserati MC12 Versione Corsa,R 912,1150,755 cv,44%,RWD
Maserati,2004 Maserati MC12,S1 751,1335,755 cv,44%,RWD
Maserati,1997 Maserati Ghibli Cup,B 591,1365,241 cv,53%,RWD
Mazda,Mazda RX-3 de 1973,D 328,885,130 cv,53%,RWD
Mazda,Mazda RX-3 Forza Edition 1973,B 600,885,130 cv,53%,RWD
Mazda,Mazda Cosmo 110S Série II de 1972,D 394,960,128 cv,51%,RWD
Mazda,Mazda #123 Mad Mike 808 Wagon 'FURSTY' de 1974,S1 702,1010,130 cv,53%,RWD
Mazda,2022 Mazda MX-5 Miata RF,B 509,1115,181 cv,52%,RWD
Mazda,2017 Mazda MX-5 Cup,B 586,985,129 cv,50%,RWD
Mazda,2016 Mazda MX-5,C 499,1058,155 cv,52%,RWD
Mazda,2013 Mazda MX-5,C 432,1115,167 cv,52%,RWD
Mazda,2011 Mazda RX-8 R3,B 508,1390,202 cv,58%,RWD
Mazda,2010 Mazda Mazdaspeed 3,B 536,1460,263 cv,61%,FWD
Mazda,2008 Mazda Furai,R 926,675,253 cv,47%,RWD
Mazda,2005 Mazda Mazdaspeed MX-5,C 469,1100,178 cv,52%,RWD
Mazda,1994 Mazda MX-5 Miata Forza Edition,S2 850,980,128 cv,52%,RWD
Mazda,1994 Mazda MX-5 Miata,D 329,980,128 cv,52%,RWD
Mazda,1992 Mazda RX-7 Type R,B 548,1260,252 cv,54%,RWD
Mazda,1991 Mazda #55 Mazda 787B,R 988,830,700 cv,44%,RWD
Mazda,1990 Mazda Savanna RX-7,C 451,1220,160 cv,54%,RWD
Mazda,1985 Mazda RX-7 GSL-SE,D 357,1138,135 cv,53%,RWD
McLaren,McLaren W1 2025,918 R,1399,1184 cv,44%,RWD
McLaren,2023 McLaren Artura,S1 766,1498,671 cv,42%,RWD
McLaren,2021 McLaren Sabre,S1 787,1410,824 cv,41%,RWD
McLaren,2021 McLaren 765LT Coupé,S2 829,1339,755 cv,42%,RWD
McLaren,2021 McLaren 620R,S1 773,1386,612 cv,42%,RWD
McLaren,2019 McLaren Speedtail,S2 835,1430,1036 cv,41%,RWD
McLaren,2018 McLaren 600LT Coupé,S1 780,1356,592 cv,42%,RWD
McLaren,2015 McLaren 570S Coupé,S1 721,1440,562 cv,42%,RWD
McLaren,2014 McLaren 650S Spider,S1 765,1370,641 cv,42%,RWD
McLaren,2013 McLaren P1,S2 848,1490,903 cv,42%,RWD
McLaren,2011 McLaren 12C Coupé,S1 727,1434,592 cv,42%,RWD
McLaren,1997 McLaren F1 GT,S1 769,1120,618 cv,42%,RWD
McLaren,1993 McLaren F1,S1 713,1140,618 cv,42%,RWD
Mercedes-AMG,2021 Mercedes-AMG SL 63,A 690,1970,582 cv,51%,AWD
Mercedes-AMG,2021 Mercedes-AMG Mercedes-AMG ONE,S2 900,1695,1001 cv,48%,AWD
Mercedes-AMG,Mercedes-AMG SLC 43 Edição Final 2020,A 620,1535,385 cv,51%,RWD
Mercedes-AMG,Pacote de Boas-Vindas da Mercedes-AMG GT Black Series 2020,S2 900,1540,720 cv,50%,RWD
Mercedes-AMG,Mercedes-AMG GT Black Series 2020,S1 782,1540,720 cv,50%,RWD
Mercedes-AMG,Mercedes-AMG GT Coupé 4 Portas 2018,A 664,2045,630 cv,54%,AWD
Mercedes-AMG,Mercedes-AMG E 63 S 2018,A 674,1980,603 cv,54%,AWD
Mercedes-AMG,Mercedes-AMG GT R 2017,S1 764,1630,577 cv,50%,RWD
Mercedes-AMG,Mercedes-AMG C 63 S Coupé 2016,A 645,1725,503 cv,54%,RWD
Mercedes-AMG,Mercedes-AMG GT S 2015,A 691,1645,503 cv,50%,RWD
Mercedes-Benz,Mercedes-Benz 300 SLR de 1955,B 599,901,296 cv,47%,RWD
Mercedes-Benz,Mercedes-Benz 300 SL Coupé 1954,D 388,1295,215 cv,47%,RWD
Mercedes-Benz,Mercedes-Benz X-Class 2018,D 258,2230,255 cv,55%,AWD
Mercedes-Benz,Mercedes-Benz Unimog U5023 2014,D 100,6000,494 cv,50%,AWD
Mercedes-Benz,Mercedes-Benz G 63 AMG 6x6 2014,C 489,3850,550 cv,55%,AWD
Mercedes-Benz,Mercedes-Benz G 65 AMG 2013,B 530,2580,621 cv,55%,AWD
Mercedes-Benz,Mercedes-Benz A 45 AMG 2013,B 582,1555,355 cv,60%,AWD
Mercedes-Benz,Mercedes-Benz C 63 AMG Coupé Black Series 2012,A 654,1710,510 cv,54%,RWD
Mercedes-Benz,Mercedes-Benz SL 65 AMG Série Preta 2009,A 699,1870,662 cv,54%,RWD
Mercedes-Benz,Mercedes-Benz AMG CLK GTR 1998,S1 713,1440,622 cv,41%,RWD
Mercedes-Benz,Mercedes-Benz 190 E 2.5-16 Evolution II Forza Edition 1990,A 700,1340,235 cv,55%,RWD
Mercedes-Benz,Mercedes-Benz 190 E 2.5-16 Evolution II de 1990,C 460,1340,235 cv,55%,RWD
Mercedes-Benz,Mercedes-Benz AMG Hammer Coupe 1987,B 565,1640,396 cv,54%,RWD
Meyers,Meyers Manx de 1971,D 201,560,57 cv,39%,RWD
Meyers,2023 Meyers Manx 2.0,B 540,750,200 cv,35%,RWD
Mitsubishi,Mitsubishi Lancer Evolution X GSR 2008,B 534,1560,291 cv,60%,AWD
Mitsubishi,Mitsubishi Lancer Evolution IX MR 2006,B 521,1410,286 cv,60%,AWD
Mitsubishi,2005 Mitsubishi #1 Sierra Sierra Enterprises Lancer Evolution Time Attack,R 962,1111,700 cv,52%,AWD
Mitsubishi,Pacote de Boas-Vindas do Mitsubishi Lancer Evolution VIII MR 2004,A 700,1410,276 cv,60%,AWD
Mitsubishi,Mitsubishi Lancer Evolution VIII MR 2004,B 555,1410,276 cv,60%,AWD
Mitsubishi,Mitsubishi Lancer Evolution VI GSR TM Edition 2001,B 574,1360,276 cv,60%,AWD
Mitsubishi,Mitsubishi Montero Evolution 1997,D 346,1950,280 cv,55%,AWD
Mitsubishi,Mitsubishi GTO 1997,C 495,1680,276 cv,58%,AWD
Mitsubishi,Mitsubishi Montero de 1995 Ultrapassa 2800 TDs,D 190,1950,123 cv,55%,AWD
Mitsubishi,Mitsubishi Lancer Evolution III GSR 1995,B 518,1260,207 cv,60%,AWD
Mitsubishi,Mitsubishi Eclipse GSX 1995,C 436,1435,276 cv,60%,AWD
Mitsubishi,Mitsubishi Galant VR-4 de 1992,C 431,1440,160 cv,60%,AWD
Mitsubishi,1990 Mitsubishi #269 Atacando o Relógio Racing Minicab Contra-Relógio,D 166,700,112 cv,55%,AWD
Mitsubishi,Mitsubishi Starion ESI-R 1988,C 446,1325,135 cv,54%,RWD
Nissan,Patrulha Nissan de 1972,D 157,1550,160 cv,55%,AWD
Nissan,Nissan Skyline H/T 2000GT-R 1973,C 407,1145,155 cv,54%,RWD
Nissan,Nissan Skyline 2000GT-R 1971,D 380,1100,228 cv,54%,RWD
Nissan,Nissan Skyline 2000 Turbo RS 1983,C 414,1170,158 cv,54%,RWD
Nissan,Nissan Fairlady Z 432 1969,D 369,1040,570 cv,55%,RWD
Nissan,Nissan #11 Tomica Skyline Turbo Super Silhouette 1983,S2 847,1005,350 cv,53%,RWD
Nissan,Nissan Z NISMO 2024,A 652,1680,710 cv,54%,RWD
Nissan,Nissan GT-R Nismo 2024,S1 741,1720,710 cv,54%,AWD
Nissan,Nissan GT-R NISMO 2020 (R35),S1 736,1720,328 cv,55%,AWD
Nissan,Nissan 370Z Nismo 2019,A 603,1515,600 cv,55%,RWD
Nissan,Nissan GT-R (R35) 2017,S1 709,1752,542 cv,55%,AWD
Nissan,Nissan GT-R Edição Preta 2012 (R35) Edição Forza,S2 850,1740,542 cv,55%,AWD
Nissan,Nissan GT-R Edição Preta 2012 (R35),S1 703,1740,332 cv,55%,AWD
Nissan,Nissan 370Z 2010,B 568,1466,287 cv,54%,RWD
Nissan,Nissan Fairlady Z 2003,B 534,1447,200 cv,60%,RWD
Nissan,Nissan Silvia Spec-R 2002,B 551,1240,276 cv,55%,RWD
Nissan,Nissan Skyline GT-R V Spec II 2000,B 590,1560,700 cv,55%,AWD
Nissan,Nissan #36 Dream Project S15 WTAC 2000,R 996,1100,276 cv,55%,RWD
Nissan,40º aniversário do Nissan Skyline GT-R 1998,B 547,1560,200 cv,55%,AWD
Nissan,Nissan Silvia K's Aero 1998,C 494,1260,390 cv,40%,RWD
Nissan,Nissan R390 (GT1) 1998,S1 774,1020,450 cv,55%,RWD
Nissan,Nissan #23 Pennzoil NISMO Skyline GT-R 1998,S2 848,1200,276 cv,58%,AWD
Nissan,Nissan Stagea RS Four V 1997,C 439,1620,276 cv,55%,AWD
Nissan,Nissan Skyline GT-R V-Spec 1997,B 555,1530,276 cv,54%,AWD
Nissan,Nissan NISMO GT-R LM 1995,B 545,1150,99 cv,55%,RWD
Nissan,Nissan Gloria Gran Turismo de 1995,C 498,1580,200 cv,60%,RWD
Nissan,Nissan Silvia K's 1994,C 499,1230,222 cv,56%,RWD
Nissan,Nissan Fairlady Z Versão S Twin Turbo 1994,C 497,1570,155 cv,60%,RWD
Nissan,Nissan 240SX 1993,D 339,1225,700 cv,55%,RWD
Nissan,Nissan #32 Skyline WTAC 'Xtreme GTR' 1993,R 923,1150,276 cv,55%,AWD
Nissan,Nissan Skyline GT-R 1992,B 541,1430,75 cv,53%,AWD
Nissan,Nissan Figaro 1991,D 234,810,227 cv,60%,FWD
Nissan,Nissan Pulsar GTI-R 1990,C 486,1220,592 cv,55%,AWD
Nissan,Nissan #12 Skyline GT-R 1990 (BNR32 Gr.A) JTC,S2 858,1260,173 cv,60%,AWD
Nissan,Nissan Silvia K's 1989,C 455,1140,75 cv,53%,RWD
Nissan,Nissan S-Cargo Forza Edition 1989,S1 800,970,75 cv,53%,FWD
Nissan,Nissan S-Cargo 1989,D 131,970,67 cv,53%,FWD
Nissan,Nissan PAO 1989,D 145,730,202 cv,55%,FWD
Nissan,Nissan Skyline GTS-R 1987,C 432,1340,51 cv,53%,RWD
Nissan,Nissan Be-1 de 1987,D 175,680,170 cv,55%,FWD
Nissan,Nissan Safari Turbo 1985,D 123,2080,150 cv,55%,AWD
Nobre,Noble M600 2010,S1 793,1250,650 cv,42%,RWD
Opel,Opel Manta 400 de 1984,B 576,960,271 cv,55%,RWD
Pagani,2021 Pagani Huayra R,R 954,1050,600 cv,42%,RWD
Pagani,Pagani Huayra BC Coupe 2016,S2 851,1218,740 cv,43%,RWD
Pagani,Pagani Zonda Cinque Roadster 2010,S2 812,1210,661 cv,42%,RWD
Pagani,2009 Pagani Zonda R,R 918,1070,738 cv,43%,RWD
Peel,Edição Trolli Peel P50 de 1962,D 100,59,4.5 cv,38%,RWD
Peel,1962 Peel P50,D 100,59,4.5 cv,38%,RWD
Penhall,2011 Penhall The Cholla,B 541,1134,190 cv,42%,RWD
Peugeot,2007 Peugeot 207 Super 2000,A 632,1150,270 cv,58%,AWD
Peugeot,Rali Peugeot 205 de 1991,D 350,810,150 cv,55%,FWD
Peugeot,Peugeot 205 Turbo 16 de 1984,C 500,1145,197 cv,55%,AWD
Plymouth,Plymouth Fury de 1958,D 361,1610,305 cv,56%,RWD
Plymouth,Plymouth Cuda 426 HEMI de 1971,C 441,1585,425 cv,56%,RWD
Plymouth,Plymouth Barracuda Fórmula S de 1968,C 445,1380,340 cv,56%,RWD
Polaris,Polaris RZR Pro XP Ultimate 2021,C 496,814,168 cv,53%,AWD
Polaris,Polaris RZR Pro XP Edição Limitada de Corrida de Fábrica 2021,C 439,814,168 cv,53%,AWD
Pontiac,Pontiac Firebird Trans Am de 1977,D 312,1650,200 cv,55%,RWD
Pontiac,Pontiac Firebird Trans Am GTA 1987,D 382,1575,225 cv,55%,RWD
Porsche,Porsche 911 Turbo 3.3 de 1982,B 550,1300,143 cv,35%,RWD
Porsche,Porsche 911 Carrera RS de 1973,C 490,1075,143 cv,35%,RWD
Porsche,Porsche #3 917 LH de 1970,S1 777,800,690 cv,50%,RWD
Porsche,Porsche #3 917 LH Forza Edition 1970,R 998,800,148 cv,54%,RWD
Porsche,Porsche 911 Turbo S 2023,S1 774,1640,450 cv,40%,AWD
Porsche,Rali Porsche 911 2023,A 700,1450,450 cv,40%,AWD
Porsche,Porsche 911 GT3 RS 2023,S1 758,1450,641 cv,50%,RWD
Porsche,Porsche 718 Cayman GT4 RS 2022,S1 737,1415,134 cv,50%,RWD
Porsche,Porsche Mission R 2021,S2 865,1500,500 cv,50%,AWD
Porsche,Porsche 911 GT3 2021,S1 752,1435,493 cv,50%,RWD
Porsche,Porsche Taycan Turbo S 2020,S1 725,2295,500 cv,37%,AWD
Porsche,Porsche 911 GT3 RS 2019,S1 760,1430,503 cv,50%,RWD
Porsche,Porsche 911 Carrera S 2019,S1 714,1515,750 cv,52%,RWD
Porsche,Porsche #70 Porsche Motorsport 935 2019,S2 853,1380,513 cv,50%,RWD
Porsche,Porsche Macan LPR Rally Raid 2018,B 528,1850,394 cv,50%,AWD
Porsche,Porsche Cayenne Turbo 2018,A 638,2175,750 cv,40%,AWD
Porsche,Porsche 911 GT2 RS 2018,S2 803,1470,180 cv,55%,RWD
Porsche,Porsche 718 Cayman GTS 2018,A 675,1375,440 cv,52%,RWD
Porsche,Porsche 918 Spyder 2014,S2 858,1634,691 cv,50%,AWD
Porsche,Porsche 911 GT3 RS 4.0 2012,S1 726,1360,395 cv,50%,RWD
Porsche,Porsche Cayman GT3 WTAC 2005,S2 856,1150,875 cv,41%,RWD
Porsche,Porsche 911 GT3 2004,A 674,1380,493 cv,50%,RWD
Porsche,Porsche Carrera GT 2003,S1 758,1380,500 cv,40%,RWD
Porsche,Porsche 911 GT1 Strassenversion de 1997,S1 746,1150,375 cv,50%,RWD
Porsche,Porsche 911 GT2 de 1995,A 644,1295,604 cv,48%,RWD
Porsche,Porsche 968 Turbo S de 1993,B 594,1300,542 cv,43%,RWD
Porsche,Porsche 928 GTS de 1993,B 563,1620,444 cv,43%,RWD
Porsche,Porsche 911 Turbo S Leichtbau de 1993,A 652,1290,316 cv,50%,RWD
Porsche,Porsche 944 Turbo de 1989,B 539,1350,322 cv,50%,RWD
Porsche,Porsche 959 de 1987,A 661,1450,376 cv,50%,AWD
Porsche,Porsche #203 Porsche 961 de 1987,S2 840,1150,247 cv,50%,AWD
Porsche,Porsche #185 959 Prodrive Rally Raid de 1985,A 623,1250,444 cv,40%,AWD
RJ Anderson,Truck RJ Anderson #37 Polaris RZR Pro 4 2021,A 677,1600,641 cv,42%,AWD
RJ Anderson,Truck RJ Anderson #37 Polaris RZR Pro 2 2016,A 674,1451,390 cv,42%,RWD
Radical,Radical RXC Turbo 2015,S2 842,935,1600 cv,52%,RWD
Ram,Ram 1500 TRX 2024,B 514,2880,1451 cv,52%,AWD
Reliant,Reliant Supervan III de 1972,D 100,535,654 cv,41%,RWD
Renault,Renault 8 Gordini de 1967,D 322,850,702 cv,58%,RWD
Renault,Renault 5 Turbo de 1980,C 417,970,16 cv,38%,RWD
Renault,Renault Megane R.S. 2018,B 547,1407,108 cv,53%,FWD
Renault,Renault Megane RS 250 2010,B 538,1387,158 cv,54%,FWD
Renault,Renault Mégane R26 2008. R,B 561,1230,272 cv,60%,FWD
Renault,Renault Clio Williams 1993,D 400,990,246 cv,60%,FWD
Rimac,Rimac Nevera 2021,R 913,2150,227 cv,60%,AWD
Rivian,Rivian R1T 2022,A 607,3243,98 cv,61%,AWD
SIERRA Cars,SIERRA Cars RX3 2021,A 635,340,1914 cv,48%,RWD
SIERRA Cars,SIERRA Cars 700R 2021,D 346,313,835 cv,52%,RWD
SIERRA Cars,2020 SIERRA Cars #23 Yokohama ALPHA,R 926,340,105 cv,39%,AWD
SRT,SRT Viper GTS 2013,S1 707,1521,105 cv,39%,RWD
Saleen,2017 Saleen S7 LM,S2 835,1250,200 cv,39%,RWD
Schuppan,Schuppan 962CR de 1993,S1 764,1050,640 cv,48%,RWD
Shelby,Shelby Cobra Daytona Coupe 1965,B 515,1043,1000 cv,40%,RWD
Shelby,Shelby Cobra 427 S/C 1965,B 582,1066,600 cv,41%,RWD
Subaru,Subaru BRAT GL 1980,D 159,1000,385 cv,47%,AWD
Subaru,Subaru WRX 2022,B 538,1540,425 cv,47%,AWD
Subaru,Subaru BRZ Forza Edition 2022,A 700,1270,97 cv,58%,RWD
Subaru,Subaru BRZ 2022,B 551,1270,271 cv,58%,RWD
Subaru,Subaru STI S209 2019,B 574,1580,228 cv,53%,AWD
Subaru,Subaru WRX STI ARX Supercar 2018,S1 757,1325,228 cv,53%,AWD
Subaru,Subaru WRX STI 2015,B 555,1537,341 cv,56%,AWD
Subaru,Subaru BRZ 2013,C 463,1250,310 cv,58%,RWD
Subaru,Subaru WRX STI 2011,B 547,1505,305 cv,58%,AWD
Subaru,2008 Subaru IMPREZA WRX STI,B 539,1505,200 cv,53%,AWD
Subaru,Subaru LEGACY B4 2.0 GT 2005,B 549,1370,261 cv,58%,AWD
Subaru,2005 Subaru IMPREZA WRX STI,B 570,1490,300 cv,58%,AWD
Subaru,2004 Subaru IMPREZA WRX STI,B 552,1470,280 cv,56%,AWD
Subaru,Versão Subaru Impreza 22B-STi de 1998,B 600,1270,280 cv,58%,AWD
Subaru,Subaru SVX de 1996,C 466,1600,276 cv,58%,AWD
Subaru,Subaru Vivio RX-R Forza Edition 1994,S2 900,700,276 cv,56%,AWD
Subaru,Subaru Vivio RX-R 1994,D 281,700,230 cv,56%,AWD
Subaru,1990 Subaru LEGACY RS,C 406,1340,64 cv,60%,AWD
TVR,TVR Griffith 2018,S1 729,1250,64 cv,60%,RWD
TVR,TVR Sagaris 2005,A 672,1078,217 cv,56%,RWD
TVR,TVR Cerbera Speed 12 de 1998,S1 770,1000,500 cv,52%,RWD
Toyota,Toyota Sports 800 de 1965,D 141,580,45 cv,53%,RWD
Toyota,Toyota Sports 800 Edição Fanta de 1965,D 141,580,45 cv,53%,RWD
Toyota,Toyota FJ40 de 1979,D 157,1720,135 cv,51%,AWD
Toyota,Toyota Corolla SR5 de 1974,D 197,880,96 cv,55%,RWD
Toyota,Toyota Celica GT 1974,D 287,1040,96 cv,55%,RWD
Toyota,Toyota 2000GT de 1969,D 377,1120,150 cv,49%,RWD
Toyota,Toyota Land Cruiser 2025,C 456,2300,409 cv,52%,AWD
Toyota,Toyota Prius Prime XSE Premium 2024,C 472,1570,220 cv,61%,FWD
Toyota,Toyota GR Corolla 2023,B 596,1475,300 cv,57%,AWD
Toyota,Toyota Camry TRD 2023,B 525,1620,301 cv,60%,FWD
Toyota,Toyota GR86 2022,B 556,1275,228 cv,53%,RWD
Toyota,Toyota GR Yaris 2021,B 558,1280,257 cv,55%,AWD
Toyota,Toyota GR Supra 2020,A 616,1540,382 cv,52%,RWD
Toyota,Toyota Tacoma TRD Pro Forza Edition 2019,R 998,2015,278 cv,54%,AWD
Toyota,Toyota Tacoma TRD Pro 2019,C 409,2015,278 cv,54%,AWD
Toyota,Toyota 4Runner TRD Pro 2019,C 421,2150,270 cv,54%,AWD
Toyota,Toyota JPN Taxi 2017,D 248,1410,93 cv,44%,RWD
Toyota,Toyota Land Cruiser Arctic Trucks AT37 2016,D 332,2700,370 cv,51%,AWD
Toyota,Stories of the 2013 Toyota 86,A 685,1250,200 cv,53%,RWD
Toyota,Toyota 86 2013,C 460,1250,200 cv,53%,RWD
Toyota,Toyota Crown Super Deluxe Taxi 2005,D 181,1450,160 cv,55%,RWD
Toyota,Toyota Celica Sport Specialty II 2003,C 433,1140,140 cv,60%,FWD
Toyota,Toyota Altezza RS200 Z EDITION 1999,C 461,1340,207 cv,53%,RWD
Toyota,Toyota Supra RZ 1998,B 529,1490,326 cv,53%,RWD
Toyota,Toyota Soarer 2.5 GT-T 1997,C 491,1560,276 cv,53%,RWD
Toyota,Toyota Chaser 2.5 Tourer V 1997,B 504,1470,276 cv,56%,RWD
Toyota,Toyota Starlet Glanza V 1996,C 435,950,133 cv,61%,FWD
Toyota,Toyota MR2 GT 1995,B 522,1270,242 cv,43%,RWD
Toyota,Toyota J&J Motorsport Supra WTAC 1995,S2 828,1180,500 cv,52%,RWD
Toyota,Toyota Celica GT-Four ST205 de 1994,C 479,1390,252 cv,58%,AWD
Toyota,Toyota #1 T100 Baja Truck 1993,B 584,1542,350 cv,53%,RWD
Toyota,Toyota Supra 2.0 GT 1992,C 453,1520,207 cv,54%,RWD
Toyota,Toyota Celica GT-Four RC ST185 de 1992,C 438,1460,227 cv,58%,AWD
Toyota,Toyota Sera 1991,D 344,890,108 cv,59%,FWD
Toyota,Toyota Chaser GT Twin Turbo 1991,C 484,1450,207 cv,56%,RWD
Toyota,Toyota MR2 SC de 1989,D 397,1130,145 cv,43%,RWD
Toyota,Toyota Sprinter Trueno GT Apex Forza Edition 1985,B 600,960,130 cv,57%,RWD
Toyota,Toyota Sprinter Trueno GT Apex 1985,D 376,960,130 cv,57%,RWD
Ultima,Ultima Evolution Coupe 1020 2015,R 925,950,1020 cv,37%,RWD
Volkswagen,Volkswagen Tipo 2 De Luxe de 1963,D 100,1100,53 cv,48%,RWD
Volkswagen,Volkswagen Pickup LX 1982,D 100,875,75 cv,41%,FWD
Volkswagen,Volkswagen Golf GTI 1983,D 314,840,110 cv,61%,FWD
Volkswagen,Volkswagen Fusca 1963,D 100,730,34 cv,42%,RWD
Volkswagen,Volkswagen Classe 5/1600 Baja Bug de 1969,D 260,980,160 cv,55%,RWD
Volkswagen,Volkswagen Golf R 2022,B 548,1480,315 cv,59%,AWD
Volkswagen,Volkswagen Golf R 2021,B 546,1480,315 cv,59%,AWD
Volkswagen,Volkswagen #34 Andretti Rally Cross Fusca 2017,S1 764,1210,542 cv,41%,AWD
Volkswagen,Volkswagen Golf R 2014,B 536,1476,270 cv,59%,AWD
Volkswagen,Volkswagen Scirocco R 2011,B 548,1330,265 cv,58%,FWD
Volkswagen,Volkswagen Golf R 2010,B 526,1520,252 cv,59%,AWD
Volkswagen,Volkswagen Corrado VR6 1995,C 426,1240,188 cv,62%,FWD
Volkswagen,Volkswagen Golf Gti 16v Mk2 1992,D 308,960,148 cv,61%,FWD
Volkswagen,Volkswagen Rallye Golf de 1989,C 440,1195,207 cv,58%,AWD
Volvo,Volvo 242 Turbo Evolution de 1983,C 435,1280,147 cv,59%,RWD
Wuling,Wuling Hongguang Mini EV 2022,D 100,665,200 cv,53%,RWD
Wuling,2013 Wuling Sunshine S Forza Edition,S1 800,985,27 cv,41%,RWD
Wuling,2013 Wuling Sunshine S,D 107,985,64 cv,41%,RWD
Zenvo,Zenvo TSR-S 2019,R 906,1495,1177 cv,42%,RWD
